brand_key,count
스타벅스,669
투썸플레이스,226
맥도날드,218
버거킹,93
두끼,76
쿠우쿠우,74
애슐리퀸즈,73
벌툰,71
아웃백스테이크하우스,67
샤브마니아,67
소담촌,62
보드게임카페,61
골프존파크,58
라라코스트,57
GDR아카데미,57
동대문엽기떡볶이,54
설빙,52
삼동소바,52
프렌즈아카데미,49
홍익돈까스,48
샤브향,47
써브웨이,47
백소정,47
놀숲,44
보배반점,42
KFC,41
파스쿠찌,40
코지하우스,39
편편집,38
상무초밥,37
리프패럿,37
롯데리아,36
샤브올데이,35
이비가짬뽕,33
롯데백화점,32
홈즈앤루팡,31
히어로보드게임카페,29
브런치빈,29
챔피언,29
셜록홈즈,27
미카도스시,27
짬뽕지존,26
화이트리에,25
화로상회,25
이디야커피,24
도야짬뽕,24
갓잇,24
돈까스클럽,23
더홀릭보드게임카페,23
GDR골프아카데미,23
프렌즈스크린,23
크로스핏,23
37,23
채선당,22
헬로방방,22
이자카야,22
할리스,21
타요키즈카페,21
도미노피자,20
교동짬뽕,20
덕수파스타,20
미분당,20
디저트39,19
탕화쿵푸마라탕,19
빕스,19
복호두,19
월드킹,19
챔피언더블랙벨트,19
서가앤쿡,19
스튜디오,18
바운스,18
샤브연리지,18
읍천리382,18
룸즈에이,17
베이커리,17
모다아울렛,16
크리스피크림도넛,16
키즈다쿵,16
꿀잼키즈룸,16
꽃마름,16
미태리,16
갤러리,16
점핑몬스터,15
용용선생,15
우니메이카,15
샤브쌈주머니,15
QED골프아카데미,15
반지공방,15
교촌치킨,15
빽다방,
맘스터치,
컴포즈커피,
메가mgc커피,
매머드커피,
피자헛,
bhc치킨,
bbq치킨,
굽네치킨,



